RSCI,Name_URL,URL,Player,URL2,college_nan,URL3,College,from,to,WS,m1,m2,m3,m4,m5,m6
35,Brandon Randolph (college),https://www.sports-reference.com/cbb/players/brandon-randolph-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,,,,45,37,36,52,27,
36,Charles O'Bannon (college),https://www.sports-reference.com/cbb/players/charles-obannonjr-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=usc,USC,,,,26,30,72,43,29,
T36,Daniel Gafford (college),https://www.basketball-reference.com/players/g/gaffoda01.html,Daniel Gafford,https://www.sports-reference.com/cbb/players/daniel-gafford-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=arkansas,Arkansas,2020,2020,1.9,46,47,32,31,44,
38,Tremont Waters (college),https://www.basketball-reference.com/players/w/watertr01.html,Tremont Waters,https://www.sports-reference.com/cbb/players/tremont-waters-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=lsu,LSU,2020,2020,-0.3,35,34,42,40,53,
39,Makai Ashton-Langford (college),https://www.sports-reference.com/cbb/players/makai-ashton-langford-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=providence,Providence,,,,42,38,35,47,43,
RSCI,,,,,,,,,,,,,,,,
40,Jeremiah Tilmon (college),https://www.sports-reference.com/cbb/players/jeremiah-tilmon-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=missouri,Missouri,,,,40,46,37,45,42,
41,Kezie Okpala (college),https://www.basketball-reference.com/players/o/okpalkz01.html,Kezie Okpala,https://www.sports-reference.com/cbb/players/kezie-okpala-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=stanford,Stanford,2020,2020,0.1,44,44,29,33,63,
42,Emmanuel Akot (college),https://www.sports-reference.com/cbb/players/emmanuel-akot-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,,,,,43,20,26,28,
43,D.J. Harvey (college),https://www.sports-reference.com/cbb/players/dj-harvey-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=notredame,Notre Dame,,,,32,53,45,51,49,
44,Cody Riley (college),https://www.sports-reference.com/cbb/players/cody-riley-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,,,,36,45,33,44,73,
45,Jermaine Samuels (college),https://www.sports-reference.com/cbb/players/jermaine-samuels-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,50,52,44,48,40,
