Field13,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,EWA,Field14,Player
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,47,"LaMarcus Aldridge, SA",53,33.1,0.571,11.9,6.9,22.7,6.3,17.8,12,19.78,7.2,216.6,7.2,http://insider.espn.go.com/nba/players/hollinger?playerId=2983,LaMarcus Aldridge
Select Year,48,"Kyle Lowry, TOR",58,36.2,0.59,27.7,11.4,24.2,1.6,12.8,7.3,17.75,7,211.3,7,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
Select Year,49,"Jrue Holiday, NO",61,34.7,0.537,24.3,11,25.7,3.8,10.9,7.3,17.09,6.9,208.3,6.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3995,Jrue Holiday
Select Year,50,"Spencer Dinwiddie, BKN",64,31.2,0.541,23.7,9.5,30.4,1.7,9.6,5.7,17.9,6.8,205.4,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2580782,Spencer Dinwiddie
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,51,"Pascal Siakam, TOR",60,35.2,0.554,13,9.3,27.4,3.3,18.3,11,17.96,6.8,203.3,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3149673,Pascal Siakam
Select Year,,"Brandon Clarke, MEM",58,22.4,0.663,12.2,8.3,18.3,7.6,20.1,14,20.97,6.8,203.2,6.8,http://insider.espn.go.com/nba/players/hollinger?playerId=3906665,Brandon Clarke
Select Year,53,"Ja Morant, MEM",67,31,0.556,27.4,12.4,27.4,2.6,10.4,6.6,17.45,6.7,199.5,6.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4279888,Ja Morant
Select Year,54,"Gordon Hayward, BOS",52,33.5,0.595,19.8,9,21.6,3.4,17.8,10.7,18.16,6.6,199,6.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4249,Gordon Hayward
Select Year,55,"Derrick Rose, DET",50,26,0.555,22.8,10.3,32.7,2.3,8.3,5.3,21.13,6.5,196.3,6.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3456,Derrick Rose
Select Year,56,"Jamal Murray, DEN",59,32.3,0.559,20.5,9.2,25.9,2.7,11.2,6.9,17.78,6.4,192.7,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3936299,Jamal Murray
Select Year,,"Lou Williams, LAC",65,28.7,0.546,22.4,11.2,29.4,1.8,9.2,5.6,17.38,6.4,191.5,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2799,Lou Williams
Select Year,,"Clint Capela, HOU",39,32.8,0.626,8.8,11.6,15.5,13.6,30.5,22,20.63,6.4,191.5,6.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3102529,Clint Capela
Select Year,59,"Julius Randle, NY",64,32.5,0.538,12.8,12.4,27.8,7.5,24.9,15.9,17.55,6.3,187.8,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3064514,Julius Randle
Select Year,,"Jaylen Brown, BOS",57,33.9,0.583,9.5,10.1,24.1,3.5,16.5,10.1,17,6.3,187.7,6.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3917376,Jaylen Brown
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,61,"Evan Fournier, ORL",66,31.5,0.595,15.4,9.2,23.9,0.9,8.2,4.4,16.44,6.1,183.9,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=6588,Evan Fournier
Select Year,,"Buddy Hield, SAC",72,30.8,0.566,13.3,10.5,26.8,2.8,14.1,8.3,16.03,6.1,182.8,6.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2990984,Buddy Hield
Select Year,63,"Thomas Bryant, WSH",46,24.9,0.649,13.7,8.8,18.7,9,23.1,15.8,21.16,6,180.8,6,http://insider.espn.go.com/nba/players/hollinger?playerId=3934723,Thomas Bryant
Select Year,,"D'Angelo Russell, GS/MIN",45,32.3,0.556,20.9,10.8,32.8,1.2,12.3,6.6,18.77,6,179.2,6,http://insider.espn.go.com/nba/players/hollinger?playerId=3136776,D'Angelo Russell
Select Year,65,"Deandre Ayton, PHX",38,32.5,0.568,9.5,10.5,22.8,13,26.3,19.6,20.08,5.8,174.8,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=4278129,Deandre Ayton
Select Year,,"Enes Kanter, BOS",58,16.9,0.599,11.1,11.1,19.1,18,28.9,23.5,22.48,5.8,174.3,5.8,http://insider.espn.go.com/nba/players/hollinger?playerId=6447,Enes Kanter
Select Year,67,"Collin Sexton, CLE",65,33,0.56,12.4,10.2,27.1,3.1,7.5,5.3,16.39,5.7,172.3,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=4277811,Collin Sexton
Select Year,,"DeAndre Jordan, BKN",56,22,0.682,20.2,14.2,14.4,12.1,34.5,23.5,19.95,5.7,172.3,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3442,DeAndre Jordan
Select Year,,"Dennis Schroder, OKC",65,30.8,0.575,17.5,11.1,26.9,1.1,11.6,6.5,16.77,5.7,172.2,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3032979,Dennis Schroder
Select Year,,"Kevin Love, CLE",56,31.8,0.599,15.6,12.3,23.4,3.3,31.1,17.1,17.97,5.7,171.9,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3449,Kevin Love
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,,"Daniel Theis, BOS",65,24.1,0.631,17.3,8.4,14.6,9.7,19.3,14.6,17.89,5.7,170.3,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2451037,Daniel Theis
Select Year,,"Richaun Holmes, SAC",44,28.2,0.681,8.6,10.6,15.1,11.2,21.5,16.2,19.75,5.7,169.7,5.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2993370,Richaun Holmes
Select Year,73,"Malcolm Brogdon, IND",54,30.9,0.541,28.5,9.8,26.4,3.1,14.1,8.6,17.76,5.6,168.1,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2566769,Malcolm Brogdon
Select Year,,"Fred VanVleet, TOR",54,35.7,0.553,26.7,9,22.7,1,9.9,5.6,16.32,5.6,167.6,5.6,http://insider.espn.go.com/nba/players/hollinger?playerId=2991230,Fred VanVleet
Select Year,75,"Ricky Rubio, PHX",65,31,0.535,37.1,11.3,22.7,2.5,14.4,8.4,16.53,5.5,166.4,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4011,Ricky Rubio
Select Year,,"Nerlens Noel, OKC",61,18.5,0.711,13,15,14.5,9.2,19.9,14.7,20.45,5.5,165.7,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2991280,Nerlens Noel
Select Year,,"Cody Zeller, CHA",58,23.1,0.576,12.2,10.4,20.7,12.6,21.2,16.7,18.84,5.5,164.9,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=2579258,Cody Zeller
Select Year,,"Andrew Wiggins, GS/MIN",54,34.4,0.536,13.9,9.3,25.2,3.6,12.3,7.8,16.44,5.5,164.6,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3059319,Andrew Wiggins
Select Year,,"Alec Burks, GS/PHI",66,26.6,0.561,16.2,7.8,23.8,2.9,14.9,8.7,16.78,5.5,164.4,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=6429,Alec Burks
Select Year,,"Eric Bledsoe, MIL",61,27,0.571,25.7,11.6,24.6,2.8,13.5,8.5,17.68,5.5,164.1,5.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4238,Eric Bledsoe
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,81,"Jordan Clarkson, CLE/UTAH",71,24,0.574,11.6,8.3,26,3.3,8.7,6.1,17.37,5.4,162,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2528426,Jordan Clarkson
Select Year,,"Bojan Bogdanovic, UTAH",63,33.1,0.603,9.7,11.8,24.6,2.1,11.2,6.8,15.67,5.4,160.6,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3593,Bojan Bogdanovic
Select Year,83,"Tristan Thompson, CLE",57,30.2,0.54,14,12,18.3,14.4,22.9,18.6,16.82,5.3,159.9,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=6474,Tristan Thompson
Select Year,,"Devonte' Graham, CHA",63,35.1,0.537,27.4,10.5,26.6,2,8.7,5.2,15.82,5.3,159.1,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3133601,Devonte' Graham
Select Year,,"Marquese Chriss, GS",59,20.3,0.604,17.7,12.1,19.1,10,23.6,16.5,19.5,5.3,158.8,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3907487,Marquese Chriss
Select Year,,"Dwight Howard, LAL",69,18.9,0.696,9,16.8,14.3,14.6,27.8,21.2,18.7,5.3,157.9,5.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2384,Dwight Howard
Select Year,87,"Serge Ibaka, TOR",55,27,0.583,8.5,12,23,8.3,23.5,16.1,17.41,5,150.9,5,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
Select Year,,"Jakob Poeltl, SA",66,17.7,0.612,24.6,11.4,13.6,12.1,22.5,17.3,19.19,5,150.1,5,http://insider.espn.go.com/nba/players/hollinger?playerId=3134908,Jakob Poeltl
Select Year,,"Kyrie Irving, BKN",20,32.9,0.595,20,8.1,33.3,3.5,12.5,8.1,26.24,5,149.6,5,http://insider.espn.go.com/nba/players/hollinger?playerId=6442,Kyrie Irving
Select Year,,"Will Barton, DEN",58,33,0.549,19.3,8,20.6,4.5,16.9,10.7,15.7,5,148.6,5,http://insider.espn.go.com/nba/players/hollinger?playerId=6579,Will Barton
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,91,"JaVale McGee, LAL",68,16.6,0.652,8.5,12.7,14.4,12.2,25.4,18.9,19.39,4.9,148.2,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3452,JaVale McGee
Select Year,,"Derrick Favors, NO",51,24.4,0.62,16,10.9,14.1,13.9,28.9,21.4,18.54,4.9,147.2,4.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4257,Derrick Favors
Select Year,93,"Norman Powell, TOR",52,28.4,0.624,10.9,9.2,20.8,1.9,11.4,6.8,16.84,4.7,140,4.7,http://insider.espn.go.com/nba/players/hollinger?playerId=2595516,Norman Powell
Select Year,94,"Derrick White, SA",68,24.7,0.593,24.7,9.1,19.4,2.3,12.1,7.2,16.46,4.6,136.8,4.6,http://insider.espn.go.com/nba/players/hollinger?playerId=3078576,Derrick White
Select Year,95,"Zion Williamson, NO",24,27.8,0.616,9.1,10.8,29.7,10.1,13.7,11.9,24.14,4.5,136,4.5,http://insider.espn.go.com/nba/players/hollinger?playerId=4395628,Zion Williamson
Select Year,,"Goran Dragic, MIA",59,28.2,0.573,23.6,11.3,26.4,2,10.2,6.3,16.41,4.5,134.2,4.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3423,Goran Dragic
Select Year,97,"Dejounte Murray, SA",66,25.6,0.524,25,11.5,21.4,4.4,20.1,12.2,16.27,4.4,132.6,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3907497,Dejounte Murray
Select Year,98,"Kelly Oubre Jr., PHX",56,34.5,0.56,7.7,7.5,21.4,3.8,17.1,10.4,15.01,4.3,130,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3133603,Kelly Oubre Jr.
Select Year,,"Larry Nance Jr., CLE",56,26.3,0.608,19,9.3,15.6,7.9,23.1,15.4,17.37,4.3,128.9,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=2580365,Larry Nance Jr.
Select Year,,"Nemanja Bjelica, SAC",72,27.9,0.602,20.5,10,17.3,6.1,19.9,12.8,15.77,4.3,128.2,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=4269,Nemanja Bjelica
Select Year,Hollinger Stats - Estimated Wins Added - All Players,,,,,,,,,,,,,,,,
Select Year,RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
Select Year,101,"Al Horford, PHI",67,30.2,0.536,24.7,7.3,18.3,5.6,19.3,12.4,15.74,4.3,128.1,4.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
